Time,Model,acc_7,acc_5,acc_2,F1_score,Corr,MAE,Loss
2024/12/16 04:59:28 - ,DLF,"(47.08, 0.0)","(52.33, 0.0)","(85.06, 0.0)","(85.04, 0.0)","(78.14, 0.0)","(73.08, 0.0)","(73.07, 0.0)"
2026/08/31 02:23:01 - ,DLF,"(33.97, 0.0)","(36.44, 0.0)","(80.03, 0.0)","(80.13, 0.0)","(67.83, 0.0)","(94.14, 0.0)","(94.05, 0.0)"
2026/08/31 10:44:56 - ,DLF,"(45.34, 0.0)","(51.75, 0.0)","(84.6, 0.0)","(84.53, 0.0)","(78.72, 0.0)","(72.83, 0.0)","(72.84, 0.0)"
2026/09/01 01:18:49 - ,DLF,"(42.86, 0.0)","(49.42, 0.0)","(83.54, 0.0)","(83.46, 0.0)","(76.13, 0.0)","(78.53, 0.0)","(78.48, 0.0)"
2026/09/01 10:43:23 - ,DLF,"(34.69, 0.0)","(41.11, 0.0)","(76.22, 0.0)","(76.34, 0.0)","(59.75, 0.0)","(104.99, 0.0)","(104.44, 0.0)"
2026/09/01 10:54:54 - ,DLF,"(44.02, 0.0)","(52.33, 0.0)","(84.15, 0.0)","(84.14, 0.0)","(78.92, 0.0)","(74.1, 0.0)","(74.06, 0.0)"
