Time,Model,acc_7,acc_5,acc_2,F1_score,Corr,MAE,Loss
2026/08/31 02:52:12 - ,DLF,"(41.4, 0.0)","(47.81, 0.0)","(85.82, 0.0)","(85.87, 0.0)","(81.06, 0.0)","(73.73, 0.0)","(73.73, 0.0)"
2026/08/31 10:04:50 - ,DLF,"(41.4, 0.0)","(47.81, 0.0)","(85.82, 0.0)","(85.87, 0.0)","(81.06, 0.0)","(73.73, 0.0)","(73.73, 0.0)"
2026/09/01 10:01:11 - ,DLF,"(42.42, 0.0)","(48.69, 0.0)","(87.04, 0.0)","(87.02, 0.0)","(81.75, 0.0)","(71.2, 0.0)","(70.55, 0.0)"
